id,type,category,course_name,course_name_es,level,language,format,venue,day,time_24h,time_display,alt_day,alt_time_24h,frequency,sessions,period,teacher,capacity,coursebook,notes,notes_es
C001,Regular course,Art and Creativity,"Film Workshop - ""Watching films to tell stories""",Taller de Cine: “Mirar cine para contar historias”,,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Wednesday,17:00,5:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),María Josefina Arévalo,,,,
C002,Regular course,Art and Creativity,"Feeling the World Through Music - singing, understanding and creation","Sentir el mundo a través de la música: taller de canto, comprensión y creación",,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Tuesday,15:00,3:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Mariano Darío Cocimano,,,"Weekly 2-hour sessions, practical and theoretical","Encuentros semanales de 2 horas, con actividades prácticas y teóricas."
C003,Regular course,Art and Creativity,Painting and Visual Resources Workshop,Taller de Pintura y Recursos Visuales,Beginner to experienced,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Wednesday,14:00,2:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Cecilia Macedo Rivera,,,Ends with a year-end exhibition of the group's work,Cierra el año con una muestra de los trabajos del grupo.
C004,Regular course,Art and Creativity,Literary Laboratory - A word that opens encounters,Laboratorio Literario: “Palabra que abre encuentros”,,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Tuesday,14:30,2:30 p.m.,Monday,15:00,Weekly,,Full year (2 Mar - 30 Nov 2026),Élida Trossero,,,Two alternative slots; participant chooses reading and/or writing,"Dos horarios alternativos. Cada participante elige si lee, escribe o las dos cosas."
C005,Regular course,Art and Creativity,Literary Laboratory - Word in flight,Laboratorio Literario: “Palabra en vuelo”,,,Online,Google Meet,Monday,19:30,7:30 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Élida Trossero,,,Includes a group project to publish a selection of participants' texts,Incluye un proyecto grupal para publicar una selección de textos de los participantes.
C006,Regular course,Humanities and Personal Development,Art History Workshop,Taller de Historia del Arte,,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Monday,15:00,3:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),,,,TEACHER NOT STATED in the source programme,Docente a confirmar. Consultá al 351 3 261002.
C007,Regular course,Humanities and Personal Development,Emotional Management and Mindfulness Workshop,Taller de Gestión Emocional y Atención Plena (Mindfulness),,,Online,Zoom / Meet,Thursday,15:00,3:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Graciela Hernández,,,,
C008,Regular course,Humanities and Personal Development,Train Your Mind,Entrena tu mente,,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Thursday,15:00,3:00 p.m.,,,Weekly,,Full year (2 Mar - 30 Nov 2026),Paola Prémolo,16,,"Cognitive training: memory, attention, concentration. Capped at 16 places","Entrenamiento cognitivo: memoria, atención y concentración. Cupo máximo de 16 personas."
C009,Regular course,Humanities and Personal Development,Three Philosophical Conversations,"Tres Conversaciones Filosóficas: los inicios de la filosofía, las mujeres de la filosofía y las filosofías no occidentales",,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Monday,16:00,4:00 p.m.,Wednesday,15:00,Weekly,,Full year (2 Mar - 30 Nov 2026),Fulvio Stanis,,,Three strands: origins of philosophy; women of philosophy; non-Western philosophies,"Tres ejes: los inicios de la filosofía, las mujeres de la filosofía y las filosofías no occidentales."
C010,Regular course,Humanities and Personal Development,Cartographies and Watermarks - reading Nobel Prize winners,Cartografías y marcas de agua: taller de lectura de Premios Nobel,,,In person,"UBP Campus, Avda. Donato Álvarez 380, Argüello, Córdoba",Thursday,16:00,4:00 p.m.,,,Fortnightly,16,Full year (2 Mar - 30 Nov 2026),Luciano Camio,,,12 Nobel laureates of the last 50 years,Doce autores premiados con el Nobel en los últimos cincuenta años.
