id,category,question_es,answer_es,question_en,answer_en,keywords,escalate,source
F001,Inscripción,¿Cómo me inscribo?,Llamanos o escribinos por WhatsApp al 351 3 261002 y decinos qué taller te interesa. Te reservamos un lugar en la próxima clase. También podés escribir a info@promover.org.ar. No hay formulario en línea: te atiende una persona.,How do I enrol?,Call or send a WhatsApp to 351 3 261002 and tell us which workshop interests you. We will keep you a place in the next class. You can also write to info@promover.org.ar. There is no online form: a person answers.,inscribir inscripcion anotarme sumarme enrol register join,yes,Programa 2026
F002,Inscripción,¿Hasta cuándo puedo inscribirme?,"La inscripción está abierta todo el año. Podés sumarte en cualquier mes, no hace falta esperar a marzo.",When can I enrol?,"Enrolment is open all year round. You can join in any month, there is no need to wait for March.",cuando inscripcion abierta plazo fecha limite deadline,no,Programa 2026
F003,Inscripción,¿Puedo probar una clase antes de pagar?,"Sí. Al sumarte podés participar de una clase gratuita en los distintos talleres, para vivir la experiencia y después elegir el que mejor te represente. Esa clase no se paga y no te compromete a nada.",Can I try a class before paying?,"Yes. On joining you may attend one free class in the different workshops, to experience it first hand and then choose the one that suits you best. That class is free and commits you to nothing.",prueba gratis probar clase gratuita trial free sin cargo,no,"Programa 2026, Metodología"
F004,Inscripción,¿Necesito estudios previos o algún título?,No. Ninguno de los talleres pide estudios previos ni conocimientos anteriores. Varios cursos de idiomas y de computadora empiezan desde cero.,Do I need previous studies or a qualification?,No. None of the workshops requires previous studies or prior knowledge. Several language and computer courses start from scratch.,requisitos estudios titulo secundario previos requirements,no,Programa 2026
F005,Inscripción,¿Qué edad hay que tener?,El programa está pensado para personas de más de 50 años.,What age is the programme for?,The programme is designed for people over 50.,edad años mayores 50 age,no,Programa 2026
F006,Inscripción,¿Puedo hacer más de un taller?,"Sí, podés cursar más de un taller. Fijate que los horarios no se superpongan y consultanos al 351 3 261002 para armar la combinación.",Can I take more than one workshop?,"Yes, you can take more than one. Check the times do not overlap and call us on 351 3 261002 to put the combination together.",varios talleres mas de uno combinar multiple,yes,Programa 2026
F007,Inscripción,¿Puedo cambiarme de taller si no me gusta?,"Sí. Para eso está la clase de prueba: si el taller no es lo que esperabas, probás otro. Hablalo con la coordinación al 351 3 261002.",Can I change workshop if I do not like it?,"Yes. That is what the trial class is for: if the workshop is not what you expected, you try another. Talk to coordination on 351 3 261002.",cambiar cambio otro taller switch change,yes,Programa 2026
F008,Aranceles,¿Cuánto cuesta?,"El arancel no está publicado en esta página porque se ajusta durante el año. Llamanos o escribinos por WhatsApp al 351 3 261002 y te decimos el valor del taller que te interesa en el momento, sin compromiso. También podés escribir a info@promover.org.ar.",How much does it cost?,"The fee is not published on this page because it is adjusted during the year. Call or WhatsApp us on 351 3 261002 and we will tell you the price of the workshop you are interested in straight away, with no obligation. You can also write to info@promover.org.ar.",precio cuanto cuesta arancel valor costo tarifa cuota price cost fee how much,yes,No hay importe publicado en ninguna fuente
F009,Aranceles,¿Cuándo se paga?,"El arancel se abona por mes, del 1 al 15 de cada mes. Dentro de esa fecha rige un arancel bonificado.",When do I pay?,"The fee is paid monthly, between the 1st and the 15th of each month. A discounted rate applies within those dates.",cuando pagar fecha pago vencimiento del 1 al 15 when pay,no,"Programa 2026, Condiciones Generales"
F010,Aranceles,¿Hay descuento por pagar temprano?,Sí. Hay un arancel bonificado si pagás del 1 al 15 de cada mes. Está sujeto a reajustes durante el año.,Is there a discount for paying early?,Yes. A discounted fee applies if you pay between the 1st and the 15th of each month. It is subject to adjustment during the year.,descuento bonificado promocion discount early,no,Programa 2026
F011,Aranceles,"Si falto a una clase, ¿la tengo que pagar igual?","Sí. Si faltás por un motivo personal, el mes se abona completo, porque el docente ya tiene reservada esa hora y cobra por ella. Si el que falta es el docente, se acuerda día y hora para recuperar la clase.","If I miss a class, do I still pay?","Yes. If you are absent for a personal reason, the full month is payable, because the teacher has already set that hour aside and is paid for it. If the teacher is absent, a day and time is agreed to make the class up.",faltar ausencia falto no voy miss absent,no,"Programa 2026, Condiciones Generales"
F012,Aranceles,¿Se paga julio con el receso?,"En los cursos anuales julio se abona completo, incluido el receso.",Is July charged during the recess?,"On annual courses July is paid in full, including the recess.",julio receso vacaciones invierno july holiday,no,Programa 2026
F013,Aranceles,¿Cómo se financia el programa?,El programa se financia únicamente con los aranceles que abonan los alumnos. Por eso los talleres necesitan un mínimo de inscriptos para abrir.,How is the programme funded?,The programme is funded solely by the fees students pay. That is why workshops need a minimum number of students to open.,financia subsidio gratis costo funding free,no,Programa 2026
F014,Clases,¿Cuánto dura una clase?,"En general los talleres son de dos horas, una vez por semana. Algunos encuentros son de una hora y media, según el taller.",How long is a class?,"Workshops are generally two hours, once a week. Some sessions run an hour and a half, depending on the workshop.",duracion cuanto dura horas frecuencia long duration,no,Programa 2026
F015,Clases,¿Cuándo empiezan y terminan las clases?,Las clases van del 2 de marzo al 30 de noviembre de 2026.,When do classes start and finish?,Classes run from 2 March to 30 November 2026.,empiezan terminan calendario ciclo lectivo start finish dates,no,Programa 2026
F016,Clases,¿Las clases son presenciales o virtuales?,"Hay de las dos. La mayoría de los talleres son presenciales en el campus, y varios se dictan por videollamada. Las aulas del campus son híbridas, así que un mismo taller puede darse en el aula y por videollamada al mismo tiempo. Las clases virtuales usan Zoom o Google Meet.",Are classes in person or online?,"Both. Most workshops are in person on campus, and several run by video call. The campus classrooms are hybrid, so the same workshop can run in the room and on a video call at the same time. Online classes use Zoom or Google Meet.",presencial virtual online zoom meet modalidad videollamada in person,no,Programa 2026
F017,Clases,¿Dónde son las clases?,"En el campus de la Universidad Blas Pascal, Avda. Donato Álvarez 380, Argüello, Córdoba. El taller de golf se dicta en el Driving Villa Allende.",Where are the classes?,"On the Universidad Blas Pascal campus, Avda. Donato Álvarez 380, Argüello, Córdoba. The golf workshop takes place at Driving Villa Allende.",donde direccion ubicacion campus lugar sede where address,no,Programa 2026
F018,Clases,¿Cuántas personas hay en cada taller?,"Los grupos son chicos. Un taller abre con un mínimo de diez inscriptos: si no se llega a ese número, la apertura la deciden el docente y la coordinación. Algunos talleres tienen cupo máximo, como Entrena tu mente, que toma hasta 16 personas.",How many people are in each workshop?,"Groups are small. A workshop opens with a minimum of ten students: below that number, the teacher and coordination decide whether it runs. Some workshops have a maximum, such as Entrena tu mente, which takes up to 16 people.",cuantos alumnos grupo cupo minimo maximo size places,no,Programa 2026
